"name","producer","region"
"Aglianico Campania","Fonzone","Campania"
"Aglianico Campania","Villa Raiano","Campania"
"Aglianico Campania Mastro","Mastroberardino","Campania"
"Aglianico Campania Rue Dell'Inchiostro","Nativ","Campania"
"Aglianico Castel del Monte Bocca di Lupo","Tormaresca","Castel del Monte"
"Aglianico Dal Re","Feudi di San Gregorio","Campania"
"Aglianico del Beneventano","Tombacco","Falanghina del Beneventano"
"Aglianico del Beneventano","Indomito","Campania"
"Aglianico del Taburno Rosato","Fontanavecchia","Taburno"
"Aglianico del Taburno Rosso","Fontanavecchia","Taburno"
"Aglianico del Taburno Rosso","Cantine Tora","Taburno"
"Aglianico del Taburno Rosso","Cantina del Taburno","Taburno"
"Aglianico del Vulture","D'Angelo","Aglianico del Vulture"
"Aglianico del Vulture","Basilisco","Aglianico del Vulture"
"Aglianico del Vulture","Corte Aurelio","Aglianico del Vulture"
"Aglianico del Vulture","Grifalco","Aglianico del Vulture"
"Aglianico del Vulture","Vulcani d'Italia","Etna"
"Aglianico Del Vulture","Feudi di San Gregorio","Aglianico del Vulture"
"Aglianico del Vulture Basilicata","I Gelsi","Aglianico del Vulture"
"Aglianico Del Vulture Piano Del Cerro","Vigneti del Vulture","Aglianico del Vulture"
"Aglianico Del Vulture Riserva Piano Del Cerro","Vigneti del Vulture","Aglianico del Vulture"
"Aglianico del Vulture Superiore Riserva","Vulcani d'Italia","Etna"
"Aglianico del Vulture Terre Mediterranee","Zonin","Veneto"
"Aglianico di Campania Rosso Dolce","Dolcezza","Campania"
"Aglianico Irpinia","La Casa dell'Orco","Toscana"
"Aglianico Irpinia","Cantine Lonardo","Campania"
"Aglianico Irpinia Il Principio","Terredora","Irpinia"
"Aglianico Irpinia Redimore","Mastroberardino","Irpinia"
"Aglianico Puglia","Masseria Altemura","Puglia"
"Aglianico Rubrato","Feudi di San Gregorio","Campania"
"Aglianico Sannio","Vigne Sannite","Sannio"
"Aglianico-Primitivo Puglia","Duca di Saragnano","Toscana"
"Agnese Moscato Secco","Alla Costiera","Veneto"
"Àgole Pinot Nero","Corvée","Trentino"
"Agostino Petri Chianti Classico Riserva","Vicchiomaggio","Chianti Classico"
"Agramante Grillo","Luna Gaia","Terre Siciliane"
"Agrestis Nebbiolo d'Alba","Gian Piero Marrone","Langhe"
"Agrestis Nebbiolo d'Alba Superiore","Gian Piero Marrone","Langhe"
"Ai Colli Amarone della Valpolicella","Vivaldi","Amarone della Valpolicella"
"Ai Colli Valpolicella Ripasso","Vivaldi","Valpolicella Ripasso"
"Ai Suma Barbera d'Asti","Braida","Piemonte"
"Aida Montepulciano d'Abruzzo","Marchesi de Cordano","Abruzzo"
"Aida Trebbiano d'Abruzzo","Marchesi de Cordano","Trebbiano d'Abruzzo"
"Aidda Cerasuolo di Vittoria","FiàNobile","Cerasuolo di Vittoria"
"Aimè Gewürztraminer","Girlan","Südtirol-Alto Adige"
"Aipierti Fiano di Avellino","Vadiaperti","Campania"
"Airone A1","Michele Chiarlo","Piemonte"
"Aka Primitivo","Produttori Vini Manduria","Puglia"
"Al Canapo Chianti Colli Senesi","Bindi Sergardi","Toscana"
"Al Carmine Valtellina Superiore Inferno Riserva","Caven","Valtellina Superiore"
"Al Ciapp Cortese","Società Agricola Angelini Paolo","Piemonte"
"Al Limite Chianti Classico","San Leonino","Chianti Classico"
"Al Passo Toscana","Tolaini","Toscana"
"Al Poggio Chardonnay di Toscana","Castello di Ama","Toscana"
"Al Posto dei Fiori Rosato","Le Pianelle","Piemonte"
"Ala Rossa d'Italia Rosso","47 Anno Domini","Veneto"
"Alabarda Barbera d'Alba","Dante Rivetti","Langhe"
"Alanera Rosso Veronese","Zenato","Rosso Veronese"
"Alasi Novello Isola dei Nuraghi","Argiolas","Sardegna"
"Alastro","Planeta","Menfi"
"Alata Vernaccia di San Gimignano","Rampa di Fugnano","Toscana"
"Alaterno Syrah","Podere San Michele","Toscana"
"Alàuda","Ruffino","Toscana"
"Alba Siciliana Cabernet Sauvignon","Cantine Paolini","Terre Siciliane"
"Alba Susumaniello","Donna Viola","Puglia"
"Albaco Bianco","Cantina Altarocca","Umbria"
"Albana di Romagna Passito","Bissoni","Albana di Romagna"
"Albana Secco","Fattoria Paradiso","Emilia-Romagna"
"Albareda Sforzato di Valtellina","Mamete Prevostini","Sforzato della Valtellina"
"Albarizza Barbera d'Asti Superiore","San Silvestro","Piemonte"
"Albarola Colli di Luni","Lvnae","Colli di Luni"
"Albarosa","Cantina del Taburno","Taburno"
"Albarossa","Tre Secoli","Piemonte"
"Albarossa Salice Salentino Rosso","Palamà","Salice Salentino"
"Albasini Amarone Della Valpolicella Classico","Villa Spinosa","Amarone della Valpolicella Classico"
"Albaspina Roero Arneis","Cozzo Mario","Roero"
"Albe Barolo","G.D. Vajra","Barolo"
"Albente","Feudi di San Gregorio","Campania"
"Albera Barbera d'Asti","Araldica","Barbera d'Asti"
"Alberaia Rosso di Toscana","Pietro Caciorgna","Etna"
"Alberello Malvasia Salento","Feudi Salentini","Salento"
"Alberello Primitivo del Salento","Mauro","Salento"
"Alberello Primitivo di Manduria","Giordano","Primitivo di Manduria"
"Alberello Salento Rosso","Felline","Salento"
"Albesani Vigna Borgese Barbaresco","Piero Busso","Barbaresco"
"Albia Toscana Rosé","Ricasoli","Toscana"
"Albiano Verdicchio dei Castelli di Jesi Classico","Marotti Campi","Marche"
"Albié Nebbiolo d'Alba","Cascina Boschetti Gomba","Nebbiolo d'Alba"
"Albìola Lazio Rosato","Casale del Giglio","Lazio"
"Albizzia Chardonnay","Frescobaldi","Toscana"
"Alborada Lacrima di Morro d'Alba","Brunori","Lacrima di Morro d'Alba"
"Alborato Merlot-Cabernet Franc Orvietano Rosso","Cantina Cardeto","Orvietano Rosso"
"Alcamo","Tenuta Rapitalà","Alcamo"
"Alcamo","Cusumano","Terre Siciliane"
"Alchymia Primitivo","Duca di Saragnano","Toscana"
"Alchymia Primitivo","Terre del Principe","Puglia"
"Aldemà Cerasuolo d'Abruzzo","Gianluca Orsini","Abruzzo"
"Aldiano Montepulciano d'Abruzzo Riserva","Cantina Tollo","Montepulciano d'Abruzzo"
"Aldo Dolcetto d'Alba","Adriano Marco e Vittorio","Dolcetto d'Alba"
"Ale Pinot Nero Alto Adige","Aneri","Südtirol-Alto Adige"
"Aleatico","Coppi","Puglia"
"Aleatico Passito","Barberani","Umbria"
"Aleatico Rosato","Brancatelli","Toscana"
"Aleatico Salice Salentino Dolce","Candido","Salice Salentino"
"Aleatico Sovana Superiore","Fattoria Aldobrandesca","Sovana"
"Aleatico Toscana Rosato","Fattoria Aldobrandesca","Toscana"
"Aleramico Barbera d'Asti","San Silvestro","Piemonte"
"Alesium Recioto della Valpolicella","Villa Canestrari","Valpolicella"
"Alesium Recioto di Soave","Villa Canestrari","Soave"
"Alessandro Gutturnio Riserva","Castelli del Duca","Gutturnio"
"Alfiera Barbera d'Asti Superiore","Marchesi Alfieri","Barbera d'Asti"
"Alfio Moriconi Selection Chianti","Bellini","Chianti"
"Alfio Moriconi Selection Il Ginepro Sangiovese","Vasco Sassetti","Toscana"
"Alfio Moriconi Selection Orvieto Classico","Bellini","Chianti"
"Alfio Moriconi Selection Pinot Grigio","Weingut Fritz Kupelwieser","Südtirol-Alto Adige"
"Alfio Moriconi Selection Rosso di Montalcino","Vasco Sassetti","Rosso di Montalcino"
"Alfio Moriconi Selection Sangiovese Toscana","Bellini","Chianti"
"Alfredo Primitivo Puglia","Botter","Puglia"
"Alghero Rosato","Sella & Mosca","Alghero"
"Alghero Torbato Spumante Brut","Sella & Mosca","Alghero"
"Algio Cabernet","Cantina la Mincana-Dal Martello","Veneto"
"Alhambra Catarratto","Spadafora","Terre Siciliane"
"Alhambra Syrah","Spadafora","Terre Siciliane"
"Ali Rosse Chianti Riserva","Bonacchi","Toscana"
"Ali Toscana Sangiovese","Donna Laura","Toscana"
"Aliante Isola Dei Nuraghi Frizzante","Sella & Mosca","Sardegna"
"Alianto Pecorino","Cantina Colle Moro","Abruzzo"
"Alicante","Tarucco-Geraci","Terre Siciliane"
"Alicante","Ampeleia","Maremma Toscana"
"Alìe Rosé Toscana","Tenuta Ammiraglia","Toscana"
"Alighino Vermentino","Caprareccia","Toscana"
"Alimata Fiano di Avellino","Villa Raiano","Fiano di Avellino"
"Aliotto Toscana","Tenuta Podernovo","Toscana"
"Alisia Pinot Grigio","Astoria","Veneto"
"Alla Corte dei Principi Rosso","Poletti","Emilia-Romagna"
"Alladio Langhe Nebbiolo","Bera","Langhe"
"Alladium Passito di Caluso Erbaluce","Cieck","Erbaluce di Caluso"
"Alleanza Langhe Rosso","Wongraven","Langhe"
"Allegorie Lagrein","Concilio","Trentino"
"Allegra Freisa d’Asti","Marchesi di Barolo","Freisa d'Asti"
"Allegracore Etna Rosso","Romeo del Castello","Terre Siciliane"
"Allegretto Collezione Privata Old Vines Primitivo di Manduria","Feudi Salentini","Primitivo di Manduria"
"Allora Cortese dell'Alto Monferrato","Linnaea","Monferrato"
"Alluva Rosso","Masseria Pietrosa","Puglia"
"Alma Cuvée Brut","Bellavista","Franciacorta"
"Alma Gran Cuvée Brut","Bellavista","Franciacorta"
"Almanegra In Itinere Virtus","Vini Sara Meneguz","Veneto"
"Alné Prosecco Treviso Millesimato","La Tordera","Veneto"
"AlpeRegis Millésime Extra Brut","Rotari","Trento"
"Alpium","Conti Sertoli Salis","Lombardia"
"Alta Battistina Gavi del Commune di Gavi","Araldica","Piemonte"
"Alta Bombino-Fiano","Teanum","Puglia"
"Alta Costa Brut","Tenuta San Francesco","Costa d'Amalfi"
"Alta Langa","San Silvestro","Piemonte"
"Alta Langa Contessa Rosa Riserva Brut","Fontanafredda","Alta Langa"
"Alta Langa Contessa Rosa Rosé","Fontanafredda","Alta Langa"
"Alta Langa Metodo Classico Brut","Mainerdo","Piemonte"
"Alta Langa Metodo Classico Brut","Brandini","Alta Langa"
"Alta Langa Metodo Classico Rosé","Brandini","Barolo"
"Alta Langa Vigna Gatinera Brut","Fontanafredda","Alta Langa"
"Alta Mora Etna Bianco","Cusumano","Etna"
"Alta Mora Etna Rosso","Cusumano","Etna"
"Alta Valle Taurasi Riserva","Colli di Castelfranci","Campania"
"Altare","Marramiero","Abruzzo"
"Altavilla della Corte Cabernet Sauvignon","Firriato","Terre Siciliane"
"Altavilla della Corte Grillo","Firriato","Terre Siciliane"
"Altavilla della Corte Nero d'Avola-Cabernet Sauvignon","Firriato","Terre Siciliane"
"Alte Reben Sylvaner","Pacherhof","Südtirol-Alto Adige"
"Altea Barbera d'Asti Superiore","Sant’Agata","Barbera d'Asti"
"Altemura Primitivo di Manduria","Masseria Altemura","Primitivo di Manduria"
"Alteni di Brassica Langhe","Gaja","Langhe"
"Alteo Amarone della Valpolicella","Fasoli Gino","Amarone della Valpolicella"
"Alter Ego","Peppucci","Umbria"
"Alterego","Coppo","Piemonte"
"AlterEgo Chardonnay Spumante Brut","Casorzo","Piemonte"
"Altero Brunello di Montalcino","Poggio Antico","Brunello di Montalcino"
"Altevigne Valdobbiadene Prosecco Superiore","Ruggeri","Conegliano-Valdobbiadene Prosecco"
"Altezza Brunello di Montalcino","Oriel","Brunello di Montalcino"
"Alticelli Fiano","Cantele","Puglia"
"Altissimo Chianti Classico","Bonacchi","Toscana"
"Altissimo Toscana Rosso","Bonacchi","Toscana"
"Alto Barbera d'Asti","Da Luca","Barbera d'Asti"
"Alto Nero d'Avola","Tenuta Rapitalà","Terre Siciliane"
"Alto Sangiovese","Petra","Toscana"
"Alto Vulture Ripa delle Rosé Basilicata","Macarico","Basilicata"
"Alto Vulture Rosso del Vulcano Basilicata","Macarico","Basilicata"
"Altro Sud Susumaniello","Corte dei Frati","Salento"
"Altropasso","Reguta","Friuli"
"Altrovino Merlot-Cabernet Franc","Duemani","Costa Toscana"
"Alussinante","Luminosità","Toscana"
"Alzari Bianco","Coffele","Veneto"
"Alzari Soave Classico","Coffele","Soave Classico"
"Am Sand Gewürztraminer","Alois Lageder","Südtirol-Alto Adige"
"Amabile degli Angeli Recioto della Valpolicella Classico","Masi","Recioto della Valpolicella"
"Amabile Lambrusco Rosato","Mirabello","Emilia"
"Amàl Syrah","Musìta","Sicilia"
"Amandorlato Recioto della Valpolicella Classico","Zýmē","Recioto della Valpolicella Classico"
"Amani Friulano Collio","Marco Felluga","Collio"
"Amansio","Gualdo del Re","Toscana"
"Amanti Cerasuolo d'Abruzzo","Cantina di Ortona","Abruzzo"
"Amaranta Montepulciano d'Abruzzo","Tenuta Ulisse","Montepulciano d'Abruzzo"
"Amarone","Ca’Rosa","Amarone della Valpolicella"
"Amarone","Le Vigne di San Pietro","Verona"
"Amarone Classico","Tenute Goltieri","Amarone della Valpolicella Classico"
"Amarone Classico","La Casona","Amarone della Valpolicella Classico"
"Amarone Classico","Bixio","Valpolicella"
"Amarone Classico Monte Danieli","Corte Rugolin","Amarone della Valpolicella Classico"
"Amarone della Valpolicella","Le Arche","Amarone della Valpolicella"
"Amarone della Valpolicella","Folonari","Amarone della Valpolicella"
"Amarone della Valpolicella","Villa Cerro","Veneto"
"Amarone della Valpolicella","Corte Giona","Veneto"
"Amarone della Valpolicella","Zonin","Amarone della Valpolicella"
"Amarone della Valpolicella","San Pietro In Cariano","Amarone della Valpolicella"
