# Dizionario nomi di vino — formato: nome;produttore;regione
# Le righe che iniziano con # vengono ignorate.
# Seed iniziale: denominazioni italiane note + alcuni vini famosi.
# A ogni release puoi accodare i nomi confermati dal dizionario
# collaborativo (vedi supabase/dizionario-vini.sql) e alzare
# _assetVersion in lib/services/dictionary_service.dart.
'Nkantu Il Rosso;Principe di Corleone;Terre Siciliane
'Saia Extra Dry;Marsuret;Conegliano-Valdobbiadene Prosecco
(MozArt Wine) Brunello di Montalcino;Il Paradiso di Frassina;Toscana
(Scream) Red Blend;Urlo;Toscana
075 Carati Cuvée Rosé Spumante;Piera Martellozzo;Trentino-Alto Adige
075 Carati Moscato Dolce;Piera Martellozzo;Trentino-Alto Adige
075 Carati Pinot Grigio Spumante;Piera Martellozzo;Trentino-Alto Adige
075 Carati Prosecco;Piera Martellozzo;Trentino-Alto Adige
089;Plozza;Valtellina
1 Lucrezia Millesimato Valdobbiadene Prosecco Superiore Brut;Aneri;Conegliano-Valdobbiadene Prosecco
1 Uno Primitivo di Manduria Riserva;Masseria La Volpe;Primitivo di Manduria
1 Uno Primitivo di Manduria;Masseria La Volpe;Primitivo di Manduria
1 Valdobbiadene Prosecco Superiore Extra Dry;Progettidivini;Conegliano-Valdobbiadene Prosecco
1.Brut;Lvnae;Liguria
100 Essenza Old Vines Primitivo di Manduria;Feudi Salentini;Puglia
100 Mesi Cuvée Aurora Riserva;Banfi;Toscana
100 Veneto Merlot;Quattro;Veneto
101 Moscato d'Asti;Ca’ del Baio;Moscato d'Asti
10th Anniversary Bolgheri Superiore;Tenuta Argentiera;Toscana
11 Filari Primitivo di Manduria Dolce Naturale;San Marzano;Primitivo di Manduria
11 Minutes Rosato;Pasqua Vigneti e Cantine;Veneto
110 Centodieci Riserva;Bosco;Abruzzo
12 e Mezzo del Salento Rosato;Varvaglione;Puglia
12 e Mezzo Malvasia del Salento;Varvaglione;Salento
12 e Mezzo Negroamaro del Salento;Varvaglione;Salento
12 e Mezzo Pinot Grigio di Puglia;Varvaglione;Puglia
12 e Mezzo Primitivo del Salento;Varvaglione;Salento
12 Uve Rosso Maremma Toscana;Il Paradiso di Frassina;Toscana
125 Uno Due Cinque Malvasia Nera del Salento;Feudi Salentini;Salento
125 Uno Due Cinque Primitivo del Salento;Feudi Salentini;Salento
1300 Toscana;Frescobaldi;Toscana
14 di Terra Primitivo di Manduria;Cantolio;Primitivo di Manduria
14 Primitivo Gioia del Colle;Polvanera;Gioia del Colle
14 Riserva Primitivo di Manduria;Cantolio;Primitivo di Manduria
14 Riserva Primitivo di Manduria;Contri;Verona
1489 Apollonia Vernaccia di San Gimignano;Baroncini;San Gimignano
150 Pignoletto Frizzante;Masselina;Emilia-Romagna
150+1 Barbera;Casali del Barone;Piemonte
158 Cabernet Sauvignon-Sangiovese;Masselina;Emilia-Romagna
1607 Victorya;Casa di Grazia;Sicilia
1623 Recioto della Valpolicella Classico;Damoli;Recioto della Valpolicella
1661 Nebbiolo;Boroli;Langhe
1689 Pinot Grigio;SalvaTerra;Delle Venezie
1698 Bolgheri Rosso;Tringali-Casanuova-Pietra-Nova;Bolgheri
17 Primitivo Gioia del Colle;Polvanera;Puglia
1754 Prosecco;Casa Defrà;Prosecco
1787 Vino Nobile di Montepulciano;Rocca delle Macìe;Vino Nobile di Montepulciano
1870 Gran Cuvèe Storica;Giorgi;Oltrepò Pavese
1888 Amarone della Valpolicella Riserva;Villa Canestrari;Amarone della Valpolicella
1890 Salice Salentino;Monte Tessa;Salice Salentino
18K Pinot Noir Brut Rosé;Sensi;Toscana
18K Prosecco Brut;Sensi;Prosecco
1908 Pinot Grigio;Casa Defrà;Veneto
1914 Mieru Pizzicatu Primitivo Salento;Marco Carrisi;Salento
1925 Pignoletto;Lombardini;Emilia-Romagna
1932 Riserva Primitivo di Manduria;Produttori Vini Manduria;Primitivo di Manduria
1954 Appassimento Limited Edition Primitivo;Sud Vini;Puglia
1954 Primitivo Puglia;Cantine Paradiso;Puglia
1960 Castelli Romani Rosso;Casata Merge;Lazio
1961 Salice Salentino;Nardelli;Puglia
1° Senso Marche Passerina;Saputi;Marche
2 Malvasia;Cantine due Palme;Brindisi
2 Valdobbiadene Prosecco Superiore Brut;Progettidivini;Conegliano-Valdobbiadene Prosecco
20 Ventiterre Bardolino;Zonin;Bardolino
20 Ventiterre Chianti;Zonin;Chianti
20 Ventiterre Merlot-Nero d'Avola Terre Siciliane;Zonin;Veneto
20 Ventiterre Montepulciano d'Abruzzo;Zonin;Montepulciano d'Abruzzo
20 Ventiterre Pinot Grigio;Zonin;Delle Venezie
24 Carati Aglianico del Taburno Rosso;Viticoltori San Martino;Taburno
24K;Plozza;Valtellina
24KT Luxury Edition Pinot Noir Brut Rosé;Sensi;Toscana
24kt Luxury Edition Prosecco Brut;Sensi;Prosecco
25 anni Montefalco Sagrantino;Arnaldo-Caprai;Montefalco Sagrantino
26esimo I° Rive di Col San Martino Valdobbiadene;Andreola;Veneto
26° Primo Rive di Col San Martino Valdobbiadene;Andreola;Veneto
28 Clones Poggio Ai Chiari Sangiovese Toscana;Colle Santa Mustiola;Toscana
28 Quintali Riserva Montepulciano d'Abruzzo;Lampato;Abruzzo
3 Gen Marsala Superiore Riserva Ambra Dolce;Cantine Intorcia;Marsala
3 Grammi Prosecco Treviso Brut;Terrae d'Argilla;Prosecco di Treviso
3 Millesimato Valdobbiadene Prosecco Superiore;Progettidivini;Conegliano-Valdobbiadene Prosecco
3 Passo Bianco;Cielo e Terra;Veneto
3 Passo Rosso;Cielo e Terra;Veneto
3 Utin Langhe Nebbiolo;Ciabot Berton;Langhe
3 Valdobbiadene Prosecco Superiore Brut;Aneri;Conegliano-Valdobbiadene Prosecco
30.03 Toscana;Terre di Fiori;Maremma Toscana
30° Anniversario;Epicuro;Puglia
35 Parallelo Primitivo del Salento;Sant'Orsola;Piemonte
36 Cuvée Brut;Marsuret;Conegliano-Valdobbiadene Prosecco
4 Maan Conegliano Valdobbiadene Prosecco Superiore Brut;Balbinot;Conegliano-Valdobbiadene Prosecco Superiore
41 Quarantuno Fuori dal Tempo;Terre di Bruca;Terre Siciliane
420 Quattro Venti Salice Salentino;Colle Al Vento;Puglia
420 Trebbiano d'Abruzzo;Torri;Abruzzo
43° Toscana Rosso;Tenute Silvio Nardi;Toscana
448 s.l.m. Bianco;Girlan;Südtirol-Alto Adige
46° Parallelo Conegliano Valdobbiadene Prosecco Superiore;Il Colle;Prosecco di Treviso
5 Ludoviea Millesimato Valdobbiadene Prosecco Superiore Brut;Aneri;Conegliano-Valdobbiadene Prosecco
5 Mesi Campania Aglianico;Paterno;Campania
5 Primitivo Puglia;Tagaro;Puglia
5 Stelle Sfursat;Nino Negri;Lombardia
5 Toscana;Le Boncie;Toscana
5 Traminer Aromatico-Zibibbo;Abbazia Santa Anastasia;Terre Siciliane
50 & 50;Capannelle;Toscana
531 Nebbiolo Spumante Rosé;Dezzani;Piemonte
6 Delizioso Fragolino;Giacobazzi;Emilia-Romagna
60 Sessantanni Limited Edition Old Vines Primitivo di Manduria;San Marzano;Puglia
60 Sessantanni Old Vines Primitivo di Manduria;San Marzano;Primitivo di Manduria
62 Anniversario Primitivo di Manduria Riserva;San Marzano;Primitivo di Manduria
67 Prosecco Brut;Bacio Della Luna;Prosecco
7 Gioioso Prosecco Blanco;Giacobazzi;Emilia-Romagna
72 Filara Catarratto;Cantine Paolini;Marsala
8 Limited Edition;Feudi Bizantini;Abruzzo
8 Secco Prosecco Millesimato Extra Dry;Rocca;Lombardia
8 Vites;Miliasso;Piemonte
80 Anni Barbera d'Asti Superiore;Dezzani;Barbera d'Asti
80 Vecchie Vigne Limited Edition;Cignomoro;Puglia
80 Vecchie Vigne Primitivo di Manduria Old Vines;Cignomoro;Primitivo di Manduria
80° Anniversario Rosso di Montepulciano;Vecchia Cantina;Rosso di Montepulciano
813 Riserva Chianti Rufina;Scopetani;Chianti Rùfina
87-87 Asolo Prosecco Superiore Extra Dry;Merlo;Prosecco
9 Sparkling Rosé Enjoy;94Wines;Veneto
9.99 Ruchè;Sant’Agata;Ruchè
90 Novantaceppi Fiano;Latentia Winery;Puglia
90 Novantaceppi Primitivo;Latentia Winery;Puglia
A Amarone della Valpolicella;Alpha Zeta;Amarone della Valpolicella
A Gino Chianti Rufina Riserva;Dreolino;Chianti
A Mare Primitivo;Terra Rossa;Salento
A Mare Rosato;Terra Rossa;Puglia
A Passion Donna Blu Moscato d'Asti;Tre Donne;Langhe
A Passo Lento;Vecchia Torre;Puglia
A Quo Toscana;Montepeloso;Toscana
A Solo Maremma Toscana;Tenute Guicciardini Strozzi;San Gimignano
A Taj Piemonte Chardonnay;Cascina Castlet;Asti
A.BP. Metodo Classico Millesimato Extra Brut Rosé;Il Pollenza;Marche
A.R. Lessini Durello;Marcato;Veneto
A50 Amarone della Valpolicella;Tinazzi;Amarone della Valpolicella
Ab Vinĕa Doni;Falchini;San Gimignano
Abaco Uve Pinot Nero;Villa Fiorita;Asti
Abate di Sant'Agnese Chianti Classico;Sant'Agnese;Chianti
Abate Pallia Marche Merlot;Saputi;Marche
Abate Pietro;Le Corti dei Farfensi;Marche
Abramo;Le Rive;Veneto
Accerto Nebbiolo d'Alba;Giribaldi;Piemonte
Acciaiolo;Castello di Albola;Toscana
Achelo Rosso;La Braccesca;Cortona
Achenio Bolgheri Bianco;Campo Alla Sughera;Bolgheri
Acinaia Vernaccia di San Gimignano;Teruzzi & Puthod;Vernaccia di San Gimignano
Acinatico Amarone della Valpolicella Classico;Stefano Accordini;Amarone della Valpolicella Classico
Acinatico Recioto della Valpolicella Classico;Stefano Accordini;Recioto della Valpolicella
Acinatico Recioto di Soave;Collis;Colli Berici
Acinatico Valpolicella Classico Superiore Ripasso;Stefano Accordini;Valpolicella Classico
Acinatium;Suavia;Soave
Acini Ameni Valpolicella Superiore Valpantena Ripasso;Corte Figaretto;Valpolicella Valpantena
Acini Spargoli Primitivo di Manduria Riserva;Antico Palmento;Primitivo di Manduria
Acininobili;Maculan;Breganze
Acquerello Grecanico-Chardonnay;Barone Montalto;Sicilia
Acquerello Grillo-Sauvignon Blanc;Barone Montalto;Terre Siciliane
Acquerello Nero d'Avola Rosato;Barone Montalto;Terre Siciliane
Acquerello Nero d'Avola-Merlot;Barone Montalto;Terre Siciliane
Acquerello Nero d'Avola;Barone Montalto;Terre Siciliane
Acquerello Pinot Grigio;Barone Montalto;Terre Siciliane
Acquerello Syrah;Barone Montalto;Terre Siciliane
Acquerello Vermentino;Barone Montalto;Terre Siciliane
Acrobata Sangiovese;Pian del Crognolo;Maremma Toscana
Acsé Barbera d'Asti Superiore;Scrimaglio;Monferrato
Ad Agio Montecucco Sangiovese Riserva;Azienda Biologica Basile;Toscana
Ad Astra Maremma Toscana;Nittardi;Maremma Toscana
Adacio Merlot-Cabernet Sauvignon;Lidl;Terre Siciliane
Adamantea Passerina;Cocci Grifoni;Marche
Addumari Cabernet-Syrah;Capocroce;Terre Siciliane
Adelasia Cortese Piemonte;San Silvestro;Piemonte
Adeodato Rosso Conero;Monte Schiavo;Marche
Adler Grüner Veltliner;Kellerei Eisacktal-Cantina Valle Isarco;Südtirol-Alto Adige
Adorato Appassionato Bianco;Tommasi;Veneto
Adoro Conegliano Valdobbiadene Prosecco Superiore Extra Dry;Col di Rocca;Conegliano-Valdobbiadene Prosecco Superiore
Adrano Montepulciano d'Abruzzo Colline Teramane Riserva;Villamedoro;Montepulciano d'Abruzzo Colline Teramane
Adènzia Bianco;Baglio del Cristo di Campobello;Terre Siciliane
Adèo Bolgheri;Campo Alla Sughera;Bolgheri
Aetneus Etna Rosso;I Custodi;Etna
Afix Riesling;Jermann;Friuli-Venezia Giulia
Agabito Vernaccia di San Gimignano;Casale di Mannino;Vernaccia di San Gimignano
Agamium Colline Novaresi;Cantalupo;Piemonte
Aged in Oak Salice Salentino;La Casada;Salice Salentino
Ageno;La Stoppa;Emilia
Aglianico Ancella;Casa Rovigatti;Conegliano-Valdobbiadene Prosecco
Aglianico Beneventano;Antico Portico;Salento
Aglianico Beneventano;Bellamico;Terre Siciliane
Aglianico Beneventano;Cantina di Solopaca;Campania
Aglianico Beneventano;Carraia in Fonteroma;Falanghina del Beneventano
Aglianico Beneventano;Casteltorre;Veneto
Aglianico Beneventano;De Falco;Campania
Aglianico Beneventano;Epicuro;Puglia
Aglianico Beneventano;Feudi del Duca;Lazio
Aglianico Beneventano;Iorio;Campania
Aglianico Beneventano;La Cacciatora;Piemonte
Aglianico Beneventano;La Fortezza;Campania
Aglianico Beneventano;La Vinicola del Titerno;Falanghina del Beneventano
Aglianico Beneventano;Lapilli;Campania
Aglianico Beneventano;Le Terre del Normanno;Montepulciano d'Abruzzo
Aglianico Beneventano;Le Vie Dell Uva;Langhe
Aglianico Beneventano;Michele Romano;Campania
Aglianico Beneventano;Milianti;Falanghina del Beneventano
Aglianico Beneventano;Tenuta Milina 28;Fiano di Avellino
Aglianico Beneventano;Vesevo;Campania
Aglianico Biorganic;Di Majo Norante;Molise
Aglianico Campania Mastro;Mastroberardino;Campania
Aglianico Campania Rue Dell'Inchiostro;Nativ;Campania
Aglianico Campania;Antica Fattoria;Campania
Aglianico Campania;Cantina Isola Di Capri;Campania
Aglianico Campania;Ettore Sammarco;Campania
Aglianico Campania;Fonzone;Campania
Aglianico Campania;Il Cancelliere;Campania
Aglianico Campania;Livia Antica;Campania
Aglianico Campania;Macchialupa;Campania
Aglianico Campania;Mastroberardino;Campania
Aglianico Campania;Montesole;Campania
Aglianico Campania;Ponte Pellegrino;Campania
Aglianico Campania;Terredora;Campania
Aglianico Campania;Villa Raiano;Campania
Aglianico Castel del Monte Bocca di Lupo;Tormaresca;Castel del Monte
Aglianico Dal Re;Feudi di San Gregorio;Campania
Aglianico del Beneventano;Indomito;Campania
Aglianico del Beneventano;Tombacco;Falanghina del Beneventano
Aglianico del Taburno Rosato;Fontanavecchia;Taburno
Aglianico del Taburno Rosso;Cantina del Taburno;Taburno
Aglianico del Taburno Rosso;Cantine Tora;Taburno
Aglianico del Taburno Rosso;Fontanavecchia;Taburno
Aglianico del Vulture Basilicata;I Gelsi;Aglianico del Vulture
Aglianico Del Vulture Piano Del Cerro;Vigneti del Vulture;Aglianico del Vulture
Aglianico Del Vulture Riserva Piano Del Cerro;Vigneti del Vulture;Aglianico del Vulture
Aglianico del Vulture Superiore Riserva;Vulcani d'Italia;Etna
Aglianico del Vulture Terre Mediterranee;Zonin;Veneto
Aglianico del Vulture;Basilisco;Aglianico del Vulture
Aglianico del Vulture;Corte Aurelio;Aglianico del Vulture
Aglianico del Vulture;D'Angelo;Aglianico del Vulture
Aglianico Del Vulture;Feudi di San Gregorio;Aglianico del Vulture
Aglianico del Vulture;Grifalco;Aglianico del Vulture
Aglianico del Vulture;Vulcani d'Italia;Etna
Aglianico di Campania Rosso Dolce;Dolcezza;Campania
Aglianico Irpinia Il Principio;Terredora;Irpinia
Aglianico Irpinia Redimore;Mastroberardino;Irpinia
Aglianico Irpinia;Cantine Lonardo;Campania
Aglianico Irpinia;La Casa dell'Orco;Toscana
Aglianico Puglia;Masseria Altemura;Puglia
Aglianico Rubrato;Feudi di San Gregorio;Campania
Aglianico Sannio;Vigne Sannite;Sannio
Aglianico-Primitivo Puglia;Duca di Saragnano;Toscana
Aglianico;Borgo di Colloredo;Molise
Aglianico;Cantine Minini;Lazio
Aglianico;Carraia in Fonteroma;Puglia
Aglianico;Koiné;Salento
Aglianico;La Dormiente;Falanghina del Beneventano
Aglianico;Massimo Leone;Puglia
Aglianico;Moio;Campania
Aglianico;Orgoglio;Puglia
Aglianico;Vinosia;Campania
Agnese Moscato Secco;Alla Costiera;Veneto
Agostino Petri Chianti Classico Riserva;Vicchiomaggio;Chianti Classico
Agramante Grillo;Luna Gaia;Terre Siciliane
Agrestis Nebbiolo d'Alba Superiore;Gian Piero Marrone;Langhe
Agrestis Nebbiolo d'Alba;Gian Piero Marrone;Langhe
Ai Colli Amarone della Valpolicella;Vivaldi;Amarone della Valpolicella
Ai Colli Valpolicella Ripasso;Vivaldi;Valpolicella Ripasso
Ai Suma Barbera d'Asti;Braida;Piemonte
Aida Montepulciano d'Abruzzo;Marchesi de Cordano;Abruzzo
Aida Trebbiano d'Abruzzo;Marchesi de Cordano;Trebbiano d'Abruzzo
Aidda Cerasuolo di Vittoria;FiàNobile;Cerasuolo di Vittoria
Aimè Gewürztraminer;Girlan;Südtirol-Alto Adige
Aipierti Fiano di Avellino;Vadiaperti;Campania
Airone A1;Michele Chiarlo;Piemonte
Aka Primitivo;Produttori Vini Manduria;Puglia
Al Canapo Chianti Colli Senesi;Bindi Sergardi;Toscana
Al Carmine Valtellina Superiore Inferno Riserva;Caven;Valtellina Superiore
Al Ciapp Cortese;Società Agricola Angelini Paolo;Piemonte
Al Limite Chianti Classico;San Leonino;Chianti Classico
Al Passo Toscana;Tolaini;Toscana
Al Poggio Chardonnay di Toscana;Castello di Ama;Toscana
Al Posto dei Fiori Rosato;Le Pianelle;Piemonte
Ala Rossa d'Italia Rosso;47 Anno Domini;Veneto
Alabarda Barbera d'Alba;Dante Rivetti;Langhe
Alanera Rosso Veronese;Zenato;Rosso Veronese
Alasi Novello Isola dei Nuraghi;Argiolas;Sardegna
Alastro;Planeta;Menfi
Alata Vernaccia di San Gimignano;Rampa di Fugnano;Toscana
Alaterno Syrah;Podere San Michele;Toscana
Alba Siciliana Cabernet Sauvignon;Cantine Paolini;Terre Siciliane
Alba Susumaniello;Donna Viola;Puglia
Albaco Bianco;Cantina Altarocca;Umbria
Albana di Romagna Passito;Bissoni;Albana di Romagna
Albana Secco;Fattoria Paradiso;Emilia-Romagna
Albareda Sforzato di Valtellina;Mamete Prevostini;Sforzato della Valtellina
Albarizza Barbera d'Asti Superiore;San Silvestro;Piemonte
Albarola Colli di Luni;Lvnae;Colli di Luni
Albarosa;Cantina del Taburno;Taburno
Albarossa Salice Salentino Rosso;Palamà;Salice Salentino
Albarossa;Tre Secoli;Piemonte
Albasini Amarone Della Valpolicella Classico;Villa Spinosa;Amarone della Valpolicella Classico
Albaspina Roero Arneis;Cozzo Mario;Roero
Albe Barolo;G.D. Vajra;Barolo
Albente;Feudi di San Gregorio;Campania
Albera Barbera d'Asti;Araldica;Barbera d'Asti
Alberaia Rosso di Toscana;Pietro Caciorgna;Etna
Alberello Malvasia Salento;Feudi Salentini;Salento
Alberello Primitivo del Salento;Mauro;Salento
Alberello Primitivo di Manduria;Giordano;Primitivo di Manduria
Alberello Salento Rosso;Felline;Salento
Albesani Vigna Borgese Barbaresco;Piero Busso;Barbaresco
Albia Toscana Rosé;Ricasoli;Toscana
Albiano Verdicchio dei Castelli di Jesi Classico;Marotti Campi;Marche
Albizzia Chardonnay;Frescobaldi;Toscana
Albié Nebbiolo d'Alba;Cascina Boschetti Gomba;Nebbiolo d'Alba
Alborada Lacrima di Morro d'Alba;Brunori;Lacrima di Morro d'Alba
Alborato Merlot-Cabernet Franc Orvietano Rosso;Cantina Cardeto;Orvietano Rosso
Albìola Lazio Rosato;Casale del Giglio;Lazio
Alcamo;Cusumano;Terre Siciliane
Alcamo;Tenuta Rapitalà;Alcamo
Alchymia Primitivo;Duca di Saragnano;Toscana
Alchymia Primitivo;Terre del Principe;Puglia
Aldemà Cerasuolo d'Abruzzo;Gianluca Orsini;Abruzzo
Aldiano Montepulciano d'Abruzzo Riserva;Cantina Tollo;Montepulciano d'Abruzzo
Aldo Dolcetto d'Alba;Adriano Marco e Vittorio;Dolcetto d'Alba
Ale Pinot Nero Alto Adige;Aneri;Südtirol-Alto Adige
Aleatico Passito;Barberani;Umbria
Aleatico Rosato;Brancatelli;Toscana
Aleatico Salice Salentino Dolce;Candido;Salice Salentino
Aleatico Sovana Superiore;Fattoria Aldobrandesca;Sovana
Aleatico Toscana Rosato;Fattoria Aldobrandesca;Toscana
Aleatico;Coppi;Puglia
Aleramico Barbera d'Asti;San Silvestro;Piemonte
Alesium Recioto della Valpolicella;Villa Canestrari;Valpolicella
Alesium Recioto di Soave;Villa Canestrari;Soave
Alessandro Gutturnio Riserva;Castelli del Duca;Gutturnio
Alfiera Barbera d'Asti Superiore;Marchesi Alfieri;Barbera d'Asti
Alfio Moriconi Selection Chianti;Bellini;Chianti
Alfio Moriconi Selection Il Ginepro Sangiovese;Vasco Sassetti;Toscana
Alfio Moriconi Selection Orvieto Classico;Bellini;Chianti
Alfio Moriconi Selection Pinot Grigio;Weingut Fritz Kupelwieser;Südtirol-Alto Adige
Alfio Moriconi Selection Rosso di Montalcino;Vasco Sassetti;Rosso di Montalcino
Alfio Moriconi Selection Sangiovese Toscana;Bellini;Chianti
Alfredo Primitivo Puglia;Botter;Puglia
Alghero Rosato;Sella & Mosca;Alghero
Alghero Torbato Spumante Brut;Sella & Mosca;Alghero
Algio Cabernet;Cantina la Mincana-Dal Martello;Veneto
Alhambra Catarratto;Spadafora;Terre Siciliane
Alhambra Syrah;Spadafora;Terre Siciliane
Ali Rosse Chianti Riserva;Bonacchi;Toscana
Ali Toscana Sangiovese;Donna Laura;Toscana
Aliante Isola Dei Nuraghi Frizzante;Sella & Mosca;Sardegna
Alianto Pecorino;Cantina Colle Moro;Abruzzo
Alicante;Ampeleia;Maremma Toscana
Alicante;Tarucco-Geraci;Terre Siciliane
Alighino Vermentino;Caprareccia;Toscana
Alimata Fiano di Avellino;Villa Raiano;Fiano di Avellino
Aliotto Toscana;Tenuta Podernovo;Toscana
Alisia Pinot Grigio;Astoria;Veneto
Alla Corte dei Principi Rosso;Poletti;Emilia-Romagna
Alladio Langhe Nebbiolo;Bera;Langhe
Alladium Passito di Caluso Erbaluce;Cieck;Erbaluce di Caluso
Alleanza Langhe Rosso;Wongraven;Langhe
Allegorie Lagrein;Concilio;Trentino
Allegra Freisa d’Asti;Marchesi di Barolo;Freisa d'Asti
Allegracore Etna Rosso;Romeo del Castello;Terre Siciliane
Allegretto Collezione Privata Old Vines Primitivo di Manduria;Feudi Salentini;Primitivo di Manduria
